timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535747311619,63,HTTP Request,200,OK,Thread Group 1-1,text,true,,1039147,130,6,6,62,0,1
1535747311635,93,HTTP Request,200,OK,Thread Group 1-2,text,true,,1039147,130,9,9,92,0,0
1535747311639,151,HTTP Request,200,OK,Thread Group 1-3,text,true,,1039147,130,15,15,150,0,0
1535747311650,192,HTTP Request,200,OK,Thread Group 1-4,text,true,,1039147,130,20,20,191,0,1
1535747311660,224,HTTP Request,200,OK,Thread Group 1-5,text,true,,1039147,130,24,24,223,0,1
1535747311670,276,HTTP Request,200,OK,Thread Group 1-6,text,true,,1039147,130,29,29,272,0,0
1535747311683,270,HTTP Request,200,OK,Thread Group 1-1,text,true,,343,133,30,30,270,0,0
1535747311731,224,HTTP Request,200,OK,Thread Group 1-2,text,true,,343,133,30,30,224,0,0
1535747311693,309,HTTP Request,200,OK,Thread Group 1-7,text,true,,1039557,130,34,34,308,0,0
1535747311705,348,HTTP Request,200,OK,Thread Group 1-8,text,true,,1039557,130,39,39,347,0,1
1535747311720,401,HTTP Request,200,OK,Thread Group 1-9,text,true,,1039557,130,46,46,400,0,0
1535747311731,420,HTTP Request,200,OK,Thread Group 1-10,text,true,,1039557,130,49,49,419,0,0
1535747311742,454,HTTP Request,200,OK,Thread Group 1-11,text,true,,1039557,130,53,53,453,0,1
1535747311753,498,HTTP Request,200,OK,Thread Group 1-12,text,true,,1039557,130,59,59,497,0,0
1535747311763,525,HTTP Request,200,OK,Thread Group 1-13,text,true,,1039557,130,62,62,524,0,0
1535747311775,555,HTTP Request,200,OK,Thread Group 1-14,text,true,,1039557,130,66,66,555,0,1
1535747311784,589,HTTP Request,200,OK,Thread Group 1-15,text,true,,1039557,130,70,70,588,0,1
1535747311808,569,HTTP Request,200,OK,Thread Group 1-3,text,true,,343,133,71,71,569,0,0
1535747311842,537,HTTP Request,200,OK,Thread Group 1-4,text,true,,343,133,71,71,537,0,0
1535747311884,496,HTTP Request,200,OK,Thread Group 1-5,text,true,,343,133,71,71,496,0,0
1535747311809,601,HTTP Request,200,OK,Thread Group 1-17,text,true,,1040173,130,73,73,601,0,1
1535747311810,637,HTTP Request,200,OK,Thread Group 1-16,text,true,,1040173,130,76,76,636,0,0
1535747311814,671,HTTP Request,200,OK,Thread Group 1-18,text,true,,1040173,130,80,80,670,0,0
1535747311826,693,HTTP Request,200,OK,Thread Group 1-19,text,true,,1040173,130,84,84,692,0,1
1535747311834,723,HTTP Request,200,OK,Thread Group 1-20,text,true,,1040173,130,87,87,722,0,0
1535747311844,746,HTTP Request,200,OK,Thread Group 1-21,text,true,,1040173,130,91,91,745,0,0
1535747311861,760,HTTP Request,200,OK,Thread Group 1-22,text,true,,1040173,130,94,94,759,0,1
1535747311877,773,HTTP Request,200,OK,Thread Group 1-23,text,true,,1040173,130,96,96,772,0,0
1535747311881,801,HTTP Request,200,OK,Thread Group 1-24,text,true,,1040173,130,100,100,801,0,1
1535747311892,819,HTTP Request,200,OK,Thread Group 1-25,text,true,,1040173,130,103,103,819,0,1
1535747311946,773,HTTP Request,200,OK,Thread Group 1-6,text,true,,343,133,103,103,773,0,0
1535747311902,857,HTTP Request,200,OK,Thread Group 1-26,text,true,,1040379,130,107,107,856,0,0
1535747311914,882,HTTP Request,200,OK,Thread Group 1-27,text,true,,1040379,130,110,110,881,0,0
1535747311928,901,HTTP Request,200,OK,Thread Group 1-28,text,true,,1040379,130,114,114,900,0,1
1535747311938,948,HTTP Request,200,OK,Thread Group 1-29,text,true,,1040379,130,119,119,947,0,0
1535747311953,962,HTTP Request,200,OK,Thread Group 1-1,text,true,,1040379,130,122,122,961,0,0
1535747311955,992,HTTP Request,200,OK,Thread Group 1-2,text,true,,1040379,130,126,126,991,0,0
1535747311953,1029,HTTP Request,200,OK,Thread Group 1-30,text,true,,1040379,130,129,129,1028,0,0
1535747311959,1059,HTTP Request,200,OK,Thread Group 1-31,text,true,,1040379,130,132,132,1057,0,0
1535747311973,1086,HTTP Request,200,OK,Thread Group 1-32,text,true,,1040379,130,137,137,1086,0,1
1535747311984,1109,HTTP Request,200,OK,Thread Group 1-33,text,true,,1040379,130,140,140,1108,0,0
